"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MCTP1",112.420701815735,1.46215764549419,0.470403560135165,3.10830480337789,0.00188163896911146,0.194008076152482
"RIMS3",47.0445550544676,-1.79103980089426,0.577048904361175,-3.10379204840019,0.00191057566891624,0.194008076152482
"IKZF4",123.172265447929,-1.55988139843957,0.503566497573225,-3.09766715211777,0.0019505036431746,0.195586752819333
"LINC00925",41.1072369196454,1.59417840962321,0.514612984764109,3.09782002557506,0.0019494978147679,0.195586752819333
"PDCD1",5866.16060975919,1.5968442045251,0.516103869628413,3.09403648857506,0.0019745320036718,0.195752061564442
"SYNJ2",62.440240311273,-1.46010568426599,0.471955975643316,-3.09373280479339,0.00197655409956616,0.195752061564442
"ENO4",15.3225641749939,1.54229306209756,0.499654693065069,3.08671785435769,0.0020237958861712,0.198118920146611
"LOC100653515",32.3269338467556,1.35728853036311,0.439747337726438,3.08651903927493,0.00202514976963626,0.198118920146611
"LOC102724246",15.892138112901,-1.6077198381952,0.522105181715121,-3.07930258978435,0.00207485826772037,0.199335485313207
"MAGI2",14.3538636182517,1.54313425416174,0.501050925006006,3.07979524065991,0.00207142950753949,0.199335485313207
"PTK2",62.1508480702206,1.28857367018276,0.418202768874559,3.08121745260197,0.00206156031213001,0.199335485313207
"RIMS4",91.395488714827,1.47170306318504,0.479847619796453,3.06702170120032,0.00216203160204327,0.206218875326185
"TLR5",11.1332730315122,-1.47842455809631,0.482260024597993,-3.06561705861627,0.00217221328410155,0.206218875326185
"PVR",23.9073206930541,1.4948196155857,0.488597881230168,3.05940666754861,0.00221775878307212,0.209304246562406
"UST",112.011413991468,1.50826098989294,0.49502451365498,3.04684101148202,0.00231259994062978,0.216978675131369
"NLRP3",8.61366222622552,-1.78035311572753,0.585128110680164,-3.04267233658969,0.00234487505648904,0.218727763990176
"KCNK5",573.859444158996,1.58955769558414,0.523635891623516,3.03561639110675,0.00240044555022903,0.221337634528015
"PFKFB3",616.126700757836,1.44204170425793,0.474785845493293,3.03724661959893,0.00238750032674114,0.221337634528015
"ZNF608",13.9679457136071,1.47374443951217,0.485819739629089,3.03352111760082,0.00241717793019135,0.221606872639943
"DBNDD1",16.3386762402634,-1.57919433958906,0.521954145732762,-3.02554228661611,0.00248187696992848,0.224967424325042
"SOCS6",69.6896523408165,1.53110692536116,0.505797606209021,3.02711382293183,0.00246900968929499,0.224967424325042
"MATK",13.2550045874403,-1.61513753209425,0.534913412815255,-3.01943733957571,0.00253244672428956,0.228261658676976
"EVI5",115.747947660008,1.4363900066548,0.476703599372342,3.01317214417102,0.00258532220880663,0.230545578458874
"LRRC20",77.2693620693911,1.54746999130841,0.513592453372898,3.01303101543989,0.00258652481442267,0.230545578458874
"ANKRD13B",58.4975703798079,1.36869932032072,0.455178791319869,3.00694879994726,0.00263884204365097,0.233909291427271
"ITGB7",839.039277762848,-1.61550337870017,0.538286597755605,-3.00119561853488,0.00268921744889534,0.235769424863808
"SGCE",126.183989642008,1.55179158099915,0.517001646038932,3.00152154811959,0.00268634026106258,0.235769424863808
"FKBP5",2471.25543340925,1.59382942316355,0.531756834622546,2.99728996298634,0.00272391489179342,0.236229678507749
"VSIG1",9.13905963804537,-1.65023912186614,0.550457847954425,-2.99793913012349,0.00271811956123864,0.236229678507749
"CDK5R1",1110.08000975702,1.29781080403492,0.434244310269202,2.98866507480632,0.00280199094367571,0.239123099469857
"HPGD",135.287975764515,-2.31636649776843,0.77488306931298,-2.98931101930275,0.00279607354112765,0.239123099469857
"ZFHX3",34.7712744970475,1.5177530914499,0.507536165618547,2.99043338044723,0.00278581889290205,0.239123099469857
"MYO6",249.523200900661,1.48638697682631,0.49890018977459,2.97932734300598,0.00288881982756039,0.245228705361793
"TSPAN12",122.835794182753,1.21400605984316,0.409519079454764,2.96446764204367,0.00303207128739186,0.256034482815343
"RASGRF1",13.0807062187935,1.55026980608264,0.523648135265689,2.9605181450633,0.00307122029729833,0.256638846092991
"S100A10",1455.433327792,-1.30504072551966,0.440697386151103,-2.96130806882572,0.00306335357045127,0.256638846092991
"LAT2",72.1768768900349,1.32810468960973,0.449984409701979,2.95144600785018,0.00316289837774222,0.262930267215006
"INHBB",40.1415460593028,1.39847831673168,0.475391191442213,2.94174217340684,0.00326371535952022,0.269912624887332
"IER5L",194.124420769344,1.3671528646643,0.465225721062645,2.93868718509698,0.00329605557396995,0.271189310916789
"RAD51B",52.9004664067405,1.32050892774804,0.449607196140916,2.93702800818644,0.00331374174108199,0.271253431091426
"LOC101929625",45.6472504748922,1.46534781521823,0.499538653125498,2.93340226236726,0.00335269195104623,0.272802078918448
"NTRK3",168.978648759415,1.25705969028656,0.428721773167936,2.93211068100839,0.00336666739128974,0.272802078918448
"CAMK2N1",70.9186249523088,1.42867014834457,0.488253930185692,2.92608018086248,0.00343262454467284,0.276748885400659
"FAAH",23.7327130219253,1.21082939677897,0.414099764511154,2.924004069909,0.00345560228591733,0.277208415376288
"AACS",422.541797690252,1.47174012903293,0.505670996253027,2.91046973217444,0.00360885919696478,0.288062372915935
"FAM19A2",8.01334639548877,-1.5698587036736,0.539838892273853,-2.90801334646566,0.00363732813732943,0.288897488293631
"LOC100507459",21.5352202595141,1.39910366159997,0.481815265390907,2.90381762907583,0.00368642824912621,0.290032486792515
"SNTA1",33.5715220225665,-1.25989892092532,0.433893799271779,-2.90370344780187,0.00368777283131845,0.290032486792515
"ST14",187.248127026534,1.46047777027947,0.503391235405602,2.90127770918123,0.00371644354095163,0.290861561809893
"ABCC1",298.831412968568,-1.28838112690546,0.444981005712318,-2.89536207246203,0.00378721421867235,0.293134595406889
"ROR1",44.5721351065358,1.31830102240143,0.455213738866626,2.89600446964471,0.00377947016912424,0.293134595406889
"SAMHD1",549.381265108419,-1.41397208166839,0.488540291921576,-2.89427935637982,0.00380029891826433,0.293134595406889
"ADAMTS2",10.7394646546267,1.89813214203246,0.656515726930424,2.89122113023443,0.0038374799923018,0.294586263141101
"KSR2",390.541686126287,1.35884426500846,0.470799956899513,2.88624551700731,0.00389867894153177,0.295817417237053
"SH3RF3",94.7880156497191,1.20124795793482,0.416231042234045,2.88601242109992,0.00390156758914735,0.295817417237053
"ZNF703",160.710095442916,1.29618587592912,0.449218051027648,2.88542696128064,0.00390883149178854,0.295817417237053
"CTTN",263.322636585883,1.36193539763165,0.473685737177372,2.87518768402704,0.00403787397777377,0.302727336913095
"IL15RA",252.69473265316,-1.58593866248179,0.551346258865923,-2.87648394630255,0.00402132650201613,0.302727336913095
"IGFBP4",988.509054211091,1.25787658550543,0.438002942784746,2.87184505544203,0.00408082999084389,0.304524820339997
"RTP5",58.8404863923289,1.33326940231022,0.464921994015686,2.86772710147422,0.00413431970630197,0.307088080406985
"DBH",67.6331801099668,1.25795583929652,0.438905863912238,2.86611764099842,0.00415539795789684,0.307231358693534
"LRP6",26.7771264231606,1.32823910628997,0.46404690662548,2.86229492606436,0.00420585338833986,0.308121971518378
"POU3F1",508.545306747402,1.44140482659383,0.503552630011979,2.86247105205178,0.00420351657064294,0.308121971518378
"HLF",26.0056243510379,-1.42572951582994,0.499495501418773,-2.8543390516637,0.00431264777924249,0.313297928696046
"RGS6",15.5650722399027,-2.00146202810475,0.701252500242742,-2.85412462331604,0.00431555985052519,0.313297928696046
"TMEM64",610.658421565672,1.41004743214411,0.494604479566594,2.8508585959021,0.00436013548043399,0.315108169585959
"RGL4",202.863636403244,-1.33863621080365,0.471024133267044,-2.84196947939548,0.00448357836004184,0.320712040131065
"STK39",809.294329635105,1.28926041964511,0.453867171711653,2.84061174722765,0.00450270943700964,0.320712040131065
"TLDC2",73.2077113011685,-1.38650737868418,0.488283131423137,-2.83955617029632,0.00451763407315013,0.320712040131065
"XXYLT1-AS2",191.104379280036,1.26806092573447,0.446040711208077,2.84292642772449,0.00447013879286532,0.320712040131065
"ASCL2",565.946269297825,1.33769497477576,0.472570170473827,2.83068009441753,0.00464491531884084,0.328295248350143
"FGF12",59.4501039486538,2.29383733865008,0.81396190841754,2.81811386371831,0.00483066756908453,0.337843655566224
"SMAD1",710.513464400432,1.40949603521735,0.500303328247793,2.81728294743474,0.0048431837933328,0.337843655566224
"XXYLT1",505.935845320859,1.40909601815464,0.499976126075079,2.81832660534484,0.00482746771751659,0.337843655566224
"DNAJB5",100.743743724058,1.37078362281868,0.487020901725231,2.81462996344262,0.00488334275500747,0.339170351347792
"CASP9",316.433809889835,1.38629473211632,0.493136497681413,2.81117852487959,0.00493603895427789,0.339830146835806
"LOC101928784",43.1431151141058,-1.33342878546686,0.474554341822597,-2.80985477942447,0.00495638583642349,0.339830146835806
"LOC728392",496.287851604242,1.18436641508668,0.421435942263645,2.81031183226835,0.00494935206082724,0.339830146835806
"BTBD11",153.935825961358,1.23242422722015,0.439075377133338,2.80686253751343,0.00500265844727358,0.340095983593463
"VAT1L",36.3713560362257,1.15049406609014,0.409867929041746,2.80698728680711,0.00500072152357262,0.340095983593463
"BASP1",741.271600067695,1.38129862570837,0.492814668887865,2.80287644202139,0.00506490693389823,0.341503889343314
"LFNG",67.4535362601422,-1.38910676245643,0.495644591916058,-2.80262669080365,0.00506883036199852,0.341503889343314
"SCGB3A1",501.465534007291,1.39962414382082,0.500033759935244,2.79905929552053,0.00512517249023357,0.341503889343314
"TOX2",3838.92814365756,1.38087022803074,0.493384999015747,2.7987681643857,0.00512979539589496,0.341503889343314
"VEGFA",15.8277623777258,1.30275788509535,0.465364648355293,2.79943457179139,0.00511921898913351,0.341503889343314
